Peso vivo,Proteina,Energia Met.,"Vit ""A""","Vit ""D""",Ca,P,Fibra,M.S.,N°,Raza
580-III,"1,293","34,27","24,554","3,500","27,0","21,0","3,761","14,59",580,Aberdeen_Angus
581-III,"1,293","34,32","24,596","3,500","27,0","21,0","3,767","14,62",581,Aberdeen_Angus
582-III,"1,293","34,33","24,638","3,500","27,0","21,0","3,774","14,65",582,Aberdeen_Angus
583-III,"1,293","34,33","24,680","3,500","27,0","21,0","3,780","14,68",583,Aberdeen_Angus
584-III,"1,293","34,33","24,722","3,500","27,0","21,0","3,786","14,71",584,Aberdeen_Angus
585-III,"1,293","34,33","24,764","3,500","27,0","21,0","3,793","14,74",585,Aberdeen_Angus
586-III,"1,293","34,33","24,806","3,500","27,0","21,0","3,799","14,77",586,Aberdeen_Angus
587-III,"1,293","34,33","24,848","3,500","27,0","21,0","3,806","14,80",587,Aberdeen_Angus
588-III,"1,293","34,33","24,891","3,500","27,0","21,0","3,812","14,83",588,Aberdeen_Angus
589-III,"1,293","34,33","24,942","3,500","27,0","21,0","3,819","14,86",589,Aberdeen_Angus
590-III,"1,293","34,33","24,993","3,500","27,0","21,0","3,825","14,89",590,Aberdeen_Angus
591-III,"1,293","34,33","25,044","3,500","27,0","21,0","3,832","14,92",591,Aberdeen_Angus
592-III,"1,293","34,33","25,095","3,500","27,0","21,0","3,838","14,95",592,Aberdeen_Angus
593-III,"1,293","34,33","25,146","3,500","27,0","21,0","3,845","14,98",593,Aberdeen_Angus
594-III,"1,293","34,33","25,197","3,500","27,0","21,0","3,851","15,01",594,Aberdeen_Angus
595-III,"1,293","34,33","25,248","3,500","27,0","21,0","3,858","15,04",595,Aberdeen_Angus
596-III,"1,293","34,33","25,299","3,500","27,0","21,0","3,864","15,07",596,Aberdeen_Angus
597-III,"1,293","34,33","25,350","3,500","27,0","21,0","3,870","15,10",597,Aberdeen_Angus
598-III,"1,293","34,33","25,400","3,960","27,0","21,0","3,877","15,13",598,Aberdeen_Angus
599-III,"1,295","34,39","25,442","3,960","27,0","21,0","3,883","15,16",599,Aberdeen_Angus
600-III,"1,297","34,44","25,485","3,960","27,0","21,0","3,890","15,19",600,Aberdeen_Angus
400-IV,"1,129","26,25","16,932","3,300","29,0","19,0","3,480","11,20",400,Charolais
401-IV,"1,132","26,32","17,059","3,300","29,0","19,0","3,506","11,28",401,Charolais
402-IV,"1,135","26,38","17,101","3,300","29,0","19,0","3,515","11,31",402,Charolais
403-IV,"1,137","26,45","17,144","3,300","29,0","19,0","3,524","11,34",403,Charolais
404-IV,"1,140","26,51","17,186","3,300","29,0","19,0","3,532","11,37",404,Charolais
405-IV,"1,143","26,58","17,228","3,300","29,0","19,0","3,541","11,40",405,Charolais
406-IV,"1,146","26,64","17,270","3,300","29,0","19,0","3,550","11,42",406,Charolais
407-IV,"1,149","26,71","17,313","3,300","29,0","19,0","3,558","11,45",407,Charolais
408-IV,"1,151","26,77","17,355","3,300","29,0","19,0","3,567","11,48",408,Charolais
409-IV,"1,154","26,84","17,397","3,300","29,0","19,0","3,576","11,51",409,Charolais
410-IV,"1,157","26,90","17,440","3,300","29,0","19,0","3,584","11,54",410,Charolais
411-IV,"1,160","26,97","17,482","3,300","29,0","19,0","3,593","11,56",411,Charolais
412-IV,"1,165","27,03","17,524","3,300","29,0","19,0","3,602","11,59",412,Charolais
413-IV,"1,165","27,10","17,567","3,300","29,0","19,0","3,611","11,62",413,Charolais
414-IV,"1,165","27,16","17,609","3,300","29,0","19,0","3,619","11,65",414,Charolais
415-IV,"1,165","27,23","17,651","3,300","29,0","19,0","3,628","11,68",415,Charolais
416-IV,"1,165","27,29","17,693","3,300","29,0","19,0","3,637","11,70",416,Charolais
417-IV,"1,165","27,36","17,736","3,300","29,0","19,0","3,645","11,73",417,Charolais
418-IV,"1,165","27,42","17,778","3,300","29,0","19,0","3,654","11,76",418,Charolais
419-IV,"1,165","27,49","17,820","3,300","29,0","19,0","3,663","11,79",419,Charolais
420-IV,"1,165","27,55","17,863","3,300","29,0","19,0","3,671","11,82",420,Charolais
421-IV,"1,165","27,62","17,905","3,300","29,0","19,0","3,680","11,84",421,Charolais
422-IV,"1,165","27,68","17,947","3,300","29,0","19,0","3,689","11,87",422,Charolais
423-IV,"1,165","27,75","17,989","3,300","29,0","19,0","3,698","11,90",423,Charolais
424-IV,"1,165","27,81","18,032","3,300","29,0","19,0","3,706","11,93",424,Charolais
425-IV,"1,165","27,88","18,074","3,300","29,0","19,0","3,715","11,96",425,Charolais
426-IV,"1,165","27,94","18,116","3,300","29,0","19,0","3,724","11,98",426,Charolais
427-IV,"1,165","28,01","18,159","3,300","29,0","19,0","3,732","12,01",427,Charolais
428-IV,"1,165","28,07","18,201","3,300","29,0","19,0","3,741","12,04",428,Charolais
429-IV,"1,165","28,14","18,243","3,300","29,0","19,0","3,750","12,07",429,Charolais
430-IV,"1,165","28,20","18,286","3,300","29,0","19,0","3,758","12,10",430,Charolais
431-IV,"1,165","28,27","18,328","3,300","29,0","19,0","3,767","12,12",431,Charolais
432-IV,"1,165","28,27","18,370","3,300","29,0","19,0","3,776","12,15",432,Charolais
433-IV,"1,165","28,27","18,412","3,300","29,0","19,0","3,785","12,18",433,Charolais
434-IV,"1,165","28,27","18,455","3,300","29,0","19,0","3,793","12,21",434,Charolais
435-IV,"1,165","28,27","18,497","3,300","29,0","19,0","3,802","12,24",435,Charolais
436-IV,"1,165","28,27","18,539","3,300","29,0","19,0","3,811","12,26",436,Charolais
437-IV,"1,165","28,27","18,582","3,300","29,0","19,0","3,819","12,29",437,Charolais
438-IV,"1,165","28,27","18,624","3,300","29,0","19,0","3,828","12,32",438,Charolais
439-IV,"1,165","28,27","18,666","3,300","29,0","19,0","3,837","12,35",439,Charolais
440-IV,"1,165","28,27","18,709","3,300","29,0","19,0","3,845","12,38",440,Charolais
441-IV,"1,165","28,27","18,751","3,300","29,0","19,0","3,854","12,40",441,Charolais
442-IV,"1,165","28,27","18,793","3,300","29,0","19,0","3,863","12,43",442,Charolais
443-IV,"1,165","28,27","18,835","3,300","29,0","19,0","3,872","12,46",443,Charolais
444-IV,"1,165","28,27","18,878","3,300","29,0","19,0","3,880","12,49",444,Charolais
445-IV,"1,165","28,27","18,920","3,300","29,0","19,0","3,889","12,52",445,Charolais
446-IV,"1,165","28,27","18,962","3,300","29,0","19,0","3,898","12,54",446,Charolais
447-IV,"1,165","28,27","19,005","3,300","29,0","19,0","3,906","12,57",447,Charolais
448-IV,"1,165","28,27","19,047","3,300","29,0","19,0","3,915","12,60",448,Charolais
449-IV,"1,167","28,33","19,089","3,300","29,0","19,0","3,924","12,63",449,Charolais
450-IV,"1,170","28,39","19,132","3,300","28,0","20,0","3,932","12,66",450,Charolais
451-IV,"1,172","28,45","19,174","3,300","28,0","20,0","3,941","12,68",451,Charolais
452-IV,"1,174","28,52","19,216","3,300","28,0","20,0","3,950","12,71",452,Charolais
453-IV,"1,177","28,58","19,258","3,300","28,0","20,0","3,959","12,74",453,Charolais
454-IV,"1,179","28,64","19,301","3,300","28,0","20,0","3,967","12,77",454,Charolais
455-IV,"1,181","28,71","19,343","3,300","28,0","20,0","3,976","12,80",455,Charolais
456-IV,"1,183","28,77","19,385","3,300","28,0","20,0","3,985","12,82",456,Charolais
457-IV,"1,186","28,83","19,428","3,300","28,0","20,0","3,993","12,85",457,Charolais
458-IV,"1,188","28,90","19,470","3,300","28,0","20,0","4,002","12,88",458,Charolais
459-IV,"1,190","28,96","19,512","3,300","28,0","20,0","4,011","12,91",459,Charolais
460-IV,"1,193","29,02","19,555","3,300","28,0","20,0","4,019","12,94",460,Charolais
461-IV,"1,195","29,08","19,597","3,300","28,0","20,0","4,028","12,96",461,Charolais
462-IV,"1,197","29,15","19,639","3,300","28,0","20,0","4,037","12,99",462,Charolais
463-IV,"1,200","29,21","19,681","3,300","28,0","20,0","4,046","13,02",463,Charolais
464-IV,"1,202","29,27","19,724","3,300","28,0","20,0","4,054","13,05",464,Charolais
465-IV,"1,204","29,34","19,766","3,300","28,0","20,0","4,063","13,08",465,Charolais
466-IV,"1,204","29,40","19,808","3,300","28,0","20,0","4,072","13,10",466,Charolais
467-IV,"1,204","29,46","19,851","3,300","28,0","20,0","4,080","13,13",467,Charolais
468-IV,"1,204","29,53","19,893","3,300","28,0","20,0","4,089","13,16",468,Charolais
469-IV,"1,204","29,59","19,935","3,300","28,0","20,0","4,098","13,19",469,Charolais
470-IV,"1,204","29,65","19,978","3,300","28,0","20,0","4,106","13,22",470,Charolais
471-IV,"1,204","29,71","20,020","3,300","28,0","20,0","4,115","13,24",471,Charolais
472-IV,"1,204","29,78","20,062","3,300","28,0","20,0","4,124","13,27",472,Charolais
473-IV,"1,204","29,84","20,104","3,300","28,0","20,0","4,133","13,30",473,Charolais
474-IV,"1,204","29,90","20,147","3,300","28,0","20,0","4,141","13,33",474,Charolais
475-IV,"1,204","29,97","20,189","3,300","28,0","20,0","4,150","13,36",475,Charolais
476-IV,"1,204","30,03","20,231","3,300","28,0","20,0","4,159","13,38",476,Charolais
477-IV,"1,204","30,09","20,274","3,300","28,0","20,0","4,167","13,41",477,Charolais
478-IV,"1,204","30,16","20,280","3,300","28,0","20,0","4,176","13,44",478,Charolais
479-IV,"1,204","30,22","20,322","3,300","28,0","20,0","4,185","13,47",479,Charolais
480-IV,"1,204","30,28","20,365","3,300","28,0","20,0","4,193","13,50",480,Charolais
481-IV,"1,204","30,43","20,407","3,300","28,0","20,0","4,202","13,52",481,Charolais
482-IV,"1,204","30,43","20,449","3,300","28,0","20,0","4,211","13,55",482,Charolais
483-IV,"1,204","30,43","20,491","3,300","28,0","20,0","4,220","13,58",483,Charolais
484-IV,"1,204","30,43","20,534","3,300","28,0","20,0","4,228","13,61",484,Charolais
485-IV,"1,204","30,43","20,576","3,300","28,0","20,0","4,237","13,64",485,Charolais
486-IV,"1,204","30,43","20,618","3,300","28,0","20,0","4,246","13,66",486,Charolais
487-IV,"1,204","30,43","20,660","3,300","28,0","20,0","4,254","13,69",487,Charolais
488-IV,"1,204","30,43","20,703","3,300","28,0","20,0","4,263","13,72",488,Charolais
489-IV,"1,204","30,43","20,745","3,300","28,0","20,0","4,272","13,75",489,Charolais
490-IV,"1,204","30,43","20,787","3,300","28,0","20,0","4,280","13,78",490,Charolais
491-IV,"1,204","30,43","20,829","3,300","28,0","20,0","4,289","13,80",491,Charolais
492-IV,"1,204","30,43","20,872","3,300","28,0","20,0","4,298","13,83",492,Charolais
493-IV,"1,204","30,43","20,914","3,300","28,0","20,0","4,307","13,86",493,Charolais
494-IV,"1,204","30,43","20,956","3,300","28,0","20,0","4,315","13,89",494,Charolais
495-IV,"1,204","30,43","20,998","3,300","28,0","20,0","4,324","13,92",495,Charolais
496-IV,"1,204","30,43","21,041","3,300","28,0","20,0","4,280","13,94",496,Charolais
497-IV,"1,204","30,43","21,083","3,300","28,0","20,0","4,236","13,97",497,Charolais
498-IV,"1,204","30,43","21,125","3,300","28,0","20,0","4,237","14,00",498,Charolais
499-IV,"1,206","30,49","21,167","3,300","28,0","20,0","4,238","14,03",499,Charolais
500-IV,"1,209","30,55","21,210","3,300","27,0","21,0","4,239","14,06",500,Charolais
501-IV,"1,211","30,61","21,252","3,300","27,0","21,0","4,240","14,08",501,Charolais
502-IV,"1,214","30,67","21,294","3,300","27,0","21,0","4,241","14,11",502,Charolais
503-IV,"1,216","30,73","21,336","3,300","27,0","21,0","4,242","14,14",503,Charolais
504-IV,"1,218","30,79","21,379","3,300","27,0","21,0","4,243","14,17",504,Charolais
505-IV,"1,221","30,85","21,421","3,300","27,0","21,0","4,244","14,20",505,Charolais
506-IV,"1,223","30,91","21,463","3,300","27,0","21,0","4,245","14,22",506,Charolais
507-IV,"1,226","30,97","21,505","3,300","27,0","21,0","4,246","14,25",507,Charolais
508-IV,"1,228","31,03","21,540","3,300","27,0","21,0","4,247","14,28",508,Charolais
509-IV,"1,230","31,09","21,582","3,300","27,0","21,0","4,248","14,31",509,Charolais
510-IV,"1,233","31,15","21,624","3,300","27,0","21,0","4,249","14,34",510,Charolais
511-IV,"1,235","31,21","21,667","3,300","27,0","21,0","4,250","14,36",511,Charolais
512-IV,"1,238","31,27","21,709","3,300","27,0","21,0","4,251","14,39",512,Charolais
513-IV,"1,240","31,33","21,751","3,300","27,0","21,0","4,320","14,42",513,Charolais
514-IV,"1,242","31,39","21,793","3,300","27,0","21,0","4,328","14,45",514,Charolais
515-IV,"1,245","31,45","21,836","3,300","27,0","21,0","4,337","14,48",515,Charolais
516-IV,"1,247","31,51","21,878","3,300","27,0","21,0","4,345","14,50",516,Charolais
517-IV,"1,247","31,57","21,920","3,300","27,0","21,0","4,354","14,53",517,Charolais
518-IV,"1,247","31,63","21,962","3,300","27,0","21,0","3,360","14,56",518,Charolais
519-IV,"1,247","31,69","22,005","3,300","27,0","21,0","3,366","14,59",519,Charolais
520-IV,"1,247","31,75","22,047","3,300","27,0","21,0","3,373","14,62",520,Charolais
521-IV,"1,247","31,81","22,089","3,300","27,0","21,0","3,379","14,64",521,Charolais
522-IV,"1,247","31,87","22,131","3,300","27,0","21,0","3,386","14,67",522,Charolais
523-IV,"1,247","31,93","22,174","3,300","27,0","21,0","3,392","14,70",523,Charolais
524-IV,"1,247","31,99","22,216","3,300","27,0","21,0","3,399","14,73",524,Charolais
525-IV,"1,247","32,05","22,258","3,300","27,0","21,0","3,405","14,76",525,Charolais
526-IV,"1,247","32,11","22,300","3,300","27,0","21,0","3,412","14,78",526,Charolais
527-IV,"1,247","32,17","22,342","3,300","27,0","21,0","3,418","14,81",527,Charolais
528-IV,"1,247","32,23","22,385","3,300","27,0","21,0","3,425","14,84",528,Charolais
529-IV,"1,247","32,29","22,427","3,300","27,0","21,0","3,431","14,87",529,Charolais
530-IV,"1,247","32,35","22,470","3,300","27,0","21,0","3,438","14,90",530,Charolais
531-IV,"1,247","32,41","22,512","3,300","27,0","21,0","3,444","14,92",531,Charolais
532-IV,"1,247","32,41","22,555","3,300","27,0","21,0","3,450","14,95",532,Charolais
533-IV,"1,247","32,41","22,597","3,300","27,0","21,0","3,457","14,98",533,Charolais
534-IV,"1,247","32,41","22,640","3,300","27,0","21,0","3,463","15,01",534,Charolais
535-IV,"1,247","32,41","22,682","3,300","27,0","21,0","3,470","15,04",535,Charolais
536-IV,"1,247","32,41","22,725","3,300","27,0","21,0","3,476","15,06",536,Charolais
537-IV,"1,247","32,41","22,767","3,300","27,0","21,0","3,483","15,09",537,Charolais
538-IV,"1,247","32,41","22,800","3,300","27,0","21,0","3,489","15,12",538,Charolais
539-IV,"1,247","32,41","22,842","3,300","27,0","21,0","3,496","15,15",539,Charolais
540-IV,"1,247","32,41","22,884","3,300","27,0","21,0","3,502","15,18",540,Charolais
541-IV,"1,247","32,41","22,927","3,300","27,0","21,0","3,509","15,20",541,Charolais
542-IV,"1,247","32,41","22,969","3,300","27,0","21,0","3,515","15,23",542,Charolais
543-IV,"1,247","32,41","23,011","3,300","27,0","21,0","3,522","15,26",543,Charolais
544-IV,"1,247","32,41","23,053","3,300","27,0","21,0","3,528","15,29",544,Charolais
545-IV,"1,247","32,41","23,096","3,300","27,0","21,0","3,534","15,32",545,Charolais
546-IV,"1,247","32,41","23,138","3,300","27,0","21,0","3,541","15,34",546,Charolais
547-IV,"1,247","32,41","23,180","3,300","27,0","21,0","3,547","15,37",547,Charolais
548-IV,"1,247","32,41","23,210","3,500","27,0","21,0","3,554","15,40",548,Charolais
549-IV,"1,249","32,47","23,252","3,500","27,0","21,0","3,560","15,43",549,Charolais
550-IV,"1,251","32,53","23,294","3,500","27,0","21,0","3,567","15,46",550,Charolais
551-IV,"1,254","32,58","23,337","3,500","27,0","21,0","3,573","15,48",551,Charolais
552-IV,"1,256","32,64","23,379","3,500","27,0","21,0","3,580","15,51",552,Charolais
553-IV,"1,258","32,70","23,421","3,500","27,0","21,0","3,586","15,54",553,Charolais
554-IV,"1,260","32,76","23,463","3,500","27,0","21,0","3,593","15,57",554,Charolais
555-IV,"1,262","32,82","23,505","3,500","27,0","21,0","3,599","15,60",555,Charolais
556-IV,"1,265","32,87","23,548","3,500","27,0","21,0","3,606","15,62",556,Charolais
557-IV,"1,267","32,93","23,590","3,500","27,0","21,0","3,612","15,65",557,Charolais
558-IV,"1,269","32,99","23,632","3,500","27,0","21,0","3,618","15,68",558,Charolais
559-IV,"1,271","33,05","23,674","3,500","27,0","21,0","3,625","15,71",559,Charolais
560-IV,"1,273","33,11","23,716","3,500","27,0","21,0","3,631","15,74",560,Charolais
561-IV,"1,276","33,16","23,759","3,500","27,0","21,0","3,638","15,76",561,Charolais
562-IV,"1,278","33,22","23,801","3,500","27,0","21,0","3,644","15,79",562,Charolais
563-IV,"1,280","33,28","23,843","3,500","27,0","21,0","3,651","15,82",563,Charolais
564-IV,"1,282","33,34","23,885","3,500","27,0","21,0","3,657","15,85",564,Charolais
565-IV,"1,284","33,40","23,927","3,500","27,0","21,0","3,664","15,88",565,Charolais
566-IV,"1,287","33,45","23,970","3,500","27,0","21,0","3,670","15,90",566,Charolais
567-IV,"1,289","33,51","24,012","3,500","27,0","21,0","3,677","15,93",567,Charolais
568-IV,"1,291","33,57","24,050","3,500","27,0","21,0","3,683","15,96",568,Charolais
569-IV,"1,293","33,63","24,092","3,500","27,0","21,0","3,690","15,99",569,Charolais
570-IV,"1,293","33,69","24,134","3,500","27,0","21,0","3,696","16,02",570,Charolais
571-IV,"1,293","33,74","24,176","3,500","27,0","21,0","3,702","16,04",571,Charolais
572-IV,"1,293","33,80","24,218","3,500","27,0","21,0","3,709","16,07",572,Charolais
573-IV,"1,293","33,86","24,260","3,500","27,0","21,0","3,715","16,10",573,Charolais
574-IV,"1,293","33,92","24,302","3,500","27,0","21,0","3,722","16,13",574,Charolais
575-IV,"1,293","33,98","24,344","3,500","27,0","21,0","3,728","16,16",575,Charolais
576-IV,"1,293","34,03","24,386","3,500","27,0","21,0","3,735","16,18",576,Charolais
577-IV,"1,293","34,09","24,428","3,500","27,0","21,0","3,741","16,21",577,Charolais
578-IV,"1,293","34,15","24,470","3,500","27,0","21,0","3,748","14,53",578,Charolais
579-IV,"1,293","34,21","24,512","3,500","27,0","21,0","3,754","14,56",579,Charolais
580-IV,"1,293","34,27","24,554","3,500","27,0","21,0","3,761","14,59",580,Charolais
581-IV,"1,293","34,32","24,596","3,500","27,0","21,0","3,767","14,62",581,Charolais
582-IV,"1,293","34,33","24,638","3,500","27,0","21,0","3,774","14,65",582,Charolais
583-IV,"1,293","34,33","24,680","3,500","27,0","21,0","3,780","14,68",583,Charolais
584-IV,"1,293","34,33","24,722","3,500","27,0","21,0","3,786","14,71",584,Charolais
585-IV,"1,293","34,33","24,764","3,500","27,0","21,0","3,793","14,74",585,Charolais
586-IV,"1,293","34,33","24,806","3,500","27,0","21,0","3,799","14,77",586,Charolais
587-IV,"1,293","34,33","24,848","3,500","27,0","21,0","3,806","14,80",587,Charolais
588-IV,"1,293","34,33","24,891","3,500","27,0","21,0","3,812","14,83",588,Charolais
589-IV,"1,293","34,33","24,942","3,500","27,0","21,0","3,819","14,86",589,Charolais
590-IV,"1,293","34,33","24,993","3,500","27,0","21,0","3,825","14,89",590,Charolais
591-IV,"1,293","34,33","25,044","3,500","27,0","21,0","3,832","14,92",591,Charolais
592-IV,"1,293","34,33","25,095","3,500","27,0","21,0","3,838","14,95",592,Charolais
593-IV,"1,293","34,33","25,146","3,500","27,0","21,0","3,845","14,98",593,Charolais
594-IV,"1,293","34,33","25,197","3,500","27,0","21,0","3,851","15,01",594,Charolais
595-IV,"1,293","34,33","25,248","3,500","27,0","21,0","3,858","15,04",595,Charolais
596-IV,"1,293","34,33","25,299","3,500","27,0","21,0","3,864","15,07",596,Charolais
597-IV,"1,293","34,33","25,350","3,500","27,0","21,0","3,870","15,10",597,Charolais
598-IV,"1,293","34,33","25,400","3,960","27,0","21,0","3,877","15,13",598,Charolais
599-IV,"1,295","34,39","25,442","3,960","27,0","21,0","3,883","15,16",599,Charolais
600-IV,"1,297","34,44","25,485","3,960","27,0","21,0","3,890","15,19",600,Charolais
300,"1,297","21,77","12,720","1,980","32,0","17,0","2,610","8,40",300,Torete_Brown
301,"1,301","21,84","12,764","1,980","32,0","17,0","2,619","8,43",301,Torete_Brown
302,"1,304","21,92","12,808","1,980","32,0","17,0","2,627","8,46",302,Torete_Brown
303,"1,308","21,99","12,852","1,980","32,0","17,0","2,636","8,48",303,Torete_Brown
304,"1,311","22,06","12,896","1,980","32,0","17,0","2,645","8,51",304,Torete_Brown
305,"1,315","22,14","12,940","1,980","32,0","17,0","2,654","8,54",305,Torete_Brown
306,"1,318","22,21","12,984","1,980","32,0","17,0","2,662","8,57",306,Torete_Brown
307,"1,322","22,28","13,028","1,980","32,0","17,0","2,671","8,60",307,Torete_Brown
308,"1,325","22,35","13,072","1,980","32,0","17,0","2,680","8,62",308,Torete_Brown
309,"1,329","22,43","13,116","1,980","32,0","17,0","2,688","8,65",309,Torete_Brown
310,"1,096","22,50","13,140","1,980","32,0","17,0","2,697","8,68",310,Torete_Brown
311,"1,096","22,57","13,182","1,980","32,0","17,0","2,706","8,71",311,Torete_Brown
312,"1,096","22,65","13,225","1,980","32,0","17,0","2,714","8,74",312,Torete_Brown
313,"1,096","22,72","13,267","1,980","32,0","17,0","2,723","8,76",313,Torete_Brown
314,"1,096","22,79","13,310","1,980","32,0","17,0","2,732","8,79",314,Torete_Brown
315,"1,096","22,87","13,352","1,980","32,0","17,0","2,741","8,82",315,Torete_Brown
316,"1,096","22,94","13,394","1,980","32,0","17,0","2,749","8,85",316,Torete_Brown
317,"1,096","23,01","13,437","1,980","32,0","17,0","2,758","8,88",317,Torete_Brown
318,"1,096","23,08","13,479","1,980","32,0","17,0","2,767","8,90",318,Torete_Brown
319,"1,096","23,16","13,521","1,980","32,0","17,0","2,775","8,93",319,Torete_Brown
320,"1,096","23,23","13,564","1,980","32,0","17,0","2,784","8,96",320,Torete_Brown
321,"1,096","23,30","13,606","1,980","32,0","17,0","2,793","8,99",321,Torete_Brown
322,"1,096","23,38","13,649","1,980","32,0","17,0","2,801","9,02",322,Torete_Brown
323,"1,096","23,45","13,691","1,980","32,0","17,0","2,810","9,04",323,Torete_Brown
324,"1,096","23,52","13,733","1,980","32,0","17,0","2,819","9,07",324,Torete_Brown
325,"1,096","23,60","13,776","1,980","32,0","17,0","2,828","9,10",325,Torete_Brown
326,"1,096","23,67","13,818","1,980","32,0","17,0","2,836","9,13",326,Torete_Brown
327,"1,096","23,74","13,861","1,980","32,0","17,0","2,845","9,16",327,Torete_Brown
328,"1,096","23,81","13,903","1,980","32,0","17,0","2,854","9,18",328,Torete_Brown
329,"1,096","23,89","13,945","1,980","32,0","17,0","2,862","9,21",329,Torete_Brown
330,"1,096","23,96","13,980","1,980","32,0","17,0","2,871","9,24",330,Torete_Brown
331,"1,096","24,03","14,022","1,980","32,0","17,0","2,880","9,27",331,Torete_Brown
332,"1,096","24,05","14,065","1,980","32,0","17,0","2,888","9,30",332,Torete_Brown
333,"1,096","24,05","14,107","1,980","32,0","17,0","2,897","9,32",333,Torete_Brown
334,"1,096","24,05","14,149","1,980","32,0","17,0","2,906","9,35",334,Torete_Brown
335,"1,096","24,05","14,192","1,980","32,0","17,0","2,915","9,38",335,Torete_Brown
336,"1,096","24,05","14,234","1,980","32,0","17,0","2,923","9,41",336,Torete_Brown
337,"1,096","24,05","14,277","1,980","32,0","17,0","2,932","9,44",337,Torete_Brown
338,"1,096","24,05","14,319","1,980","32,0","17,0","2,941","9,46",338,Torete_Brown
339,"1,096","24,05","14,361","1,980","32,0","17,0","2,949","9,49",339,Torete_Brown
340,"1,096","24,05","14,404","1,980","32,0","17,0","2,958","9,52",340,Torete_Brown
341,"1,096","24,05","14,446","1,980","32,0","17,0","2,967","9,55",341,Torete_Brown
342,"1,096","24,05","14,488","1,980","32,0","17,0","2,975","9,58",342,Torete_Brown
343,"1,096","24,05","14,531","1,980","32,0","17,0","2,984","9,60",343,Torete_Brown
344,"1,096","24,05","14,573","1,980","32,0","17,0","2,993","9,63",344,Torete_Brown
345,"1,096","24,05","14,615","1,980","32,0","17,0","3,002","9,66",345,Torete_Brown
346,"1,096","24,05","14,658","1,980","32,0","17,0","3,010","9,69",346,Torete_Brown
347,"1,096","24,05","14,700","1,980","32,0","17,0","3,019","9,72",347,Torete_Brown
348,"1,096","24,05","14,743","1,980","32,0","17,0","3,028","9,74",348,Torete_Brown
349,"1,096","24,05","14,785","1,980","32,0","17,0","3,036","9,77",349,Torete_Brown
350,"1,096","24,05","14,820","1,980","31,0","18,0","3,045","9,80",350,Torete_Brown
351,"1,099","24,12","14,855","3,300","31,0","18,0","3,054","9,83",351,Torete_Brown
352,"1,102","24,19","14,890","3,300","31,0","18,0","3,062","9,86",352,Torete_Brown
353,"1,105","24,26","14,925","3,300","31,0","18,0","3,071","9,88",353,Torete_Brown
354,"1,108","24,32","14,960","3,300","31,0","18,0","3,080","9,91",354,Torete_Brown
355,"1,111","24,39","14,995","3,300","31,0","18,0","3,089","9,94",355,Torete_Brown
356,"1,113","24,46","15,031","3,300","31,0","18,0","3,097","9,97",356,Torete_Brown
357,"1,116","24,53","15,066","3,300","31,0","18,0","3,106","10,00",357,Torete_Brown
358,"1,119","24,60","15,101","3,300","31,0","18,0","3,115","10,02",358,Torete_Brown
359,"1,122","24,67","15,136","3,300","31,0","18,0","3,123","10,05",359,Torete_Brown
360,"1,125","24,74","15,240","3,300","31,0","18,0","3,132","10,08",360,Torete_Brown
361,"1,128","24,81","15,282","3,300","31,0","18,0","3,141","10,11",361,Torete_Brown
362,"1,129","24,87","15,325","3,300","31,0","18,0","3,149","10,14",362,Torete_Brown
363,"1,129","24,94","15,367","3,300","31,0","18,0","3,158","10,16",363,Torete_Brown
364,"1,129","25,01","15,409","3,300","31,0","18,0","3,167","10,19",364,Torete_Brown
365,"1,129","25,08","15,452","3,300","31,0","18,0","3,176","10,22",365,Torete_Brown
366,"1,129","25,15","15,494","3,300","31,0","18,0","3,184","10,25",366,Torete_Brown
367,"1,129","25,22","15,536","3,300","31,0","18,0","3,193","10,28",367,Torete_Brown
368,"1,129","25,29","15,578","3,300","31,0","18,0","3,202","10,30",368,Torete_Brown
369,"1,129","25,36","15,621","3,300","31,0","18,0","3,210","10,33",369,Torete_Brown
370,"1,129","25,42","15,663","3,300","31,0","18,0","3,219","10,36",370,Torete_Brown
371,"1,129","25,49","15,705","3,300","31,0","18,0","3,228","10,39",371,Torete_Brown
372,"1,129","25,56","15,748","3,300","31,0","18,0","3,236","10,42",372,Torete_Brown
373,"1,129","25,63","15,790","3,300","31,0","18,0","3,245","10,44",373,Torete_Brown
374,"1,129","25,70","15,832","3,300","31,0","18,0","3,254","10,47",374,Torete_Brown
375,"1,129","25,77","15,875","3,300","31,0","18,0","3,263","10,50",375,Torete_Brown
376,"1,129","25,84","15,917","3,300","31,0","18,0","3,271","10,53",376,Torete_Brown
377,"1,129","25,90","15,959","3,300","31,0","18,0","3,280","10,56",377,Torete_Brown
378,"1,129","25,97","16,001","3,300","31,0","18,0","3,289","10,58",378,Torete_Brown
379,"1,129","26,04","16,044","3,300","31,0","18,0","3,297","10,61",379,Torete_Brown
380,"1,129","26,11","16,086","3,300","31,0","18,0","3,306","10,64",380,Torete_Brown
381,"1,129","26,18","16,128","3,300","31,0","18,0","3,315","10,67",381,Torete_Brown
382,"1,129","26,25","16,171","3,300","31,0","18,0","3,323","10,70",382,Torete_Brown
383,"1,129","26,25","16,213","3,300","31,0","18,0","3,332","10,72",383,Torete_Brown
384,"1,129","26,25","16,255","3,300","31,0","18,0","3,341","10,75",384,Torete_Brown
